fight_id,event_id,referee,f_1,f_2,winner,num_rounds,title_fight,weight_class,gender,result,result_details,finish_round,finish_time,event_name,event_date,event_city,event_state,event_country,fight_stat_id,fighter_id,knockdowns,total_strikes_att,total_strikes_succ,sig_strikes_att,sig_strikes_succ,takedown_att,takedown_succ,submission_att,reversals,ctrl_time,fighter_f_name,fighter_l_name,fighter_height_cm,fighter_weight_lbs,fighter_reach_cm,fighter_dob,fighter_w,fighter_l,fighter_d,fighter_nc_dq
2064,217,Mario Yamasaki,1458.0,2581.0,1458.0,3,F,Heavyweight,M,Submission,Armbar On Ground,2,4:31,UFC 153: Silva vs Bonnar,2012-10-13,Rio de Janeiro,Rio de Janeiro,Brazil,4127,2581.0,0.0,33.0,14.0,32.0,13.0,2.0,2.0,0.0,0.0,1:02,Dave,Herman,193.04,242.0,195.58,1984-10-03,22,6,0,0.0
1925,204,Steve Mazzagatti,1497.0,2581.0,1497.0,3,F,Heavyweight,M,KO/TKO,Punch to Head At Distance,1,0:51,UFC 146: Dos Santos vs Mir,2012-05-26,Las Vegas,Nevada,USA,3849,2581.0,0.0,8.0,3.0,8.0,3.0,0.0,0.0,0.0,0.0,0:00,Dave,Herman,193.04,242.0,195.58,1984-10-03,22,6,0,0.0
1844,197,Josh Rosenthal,509.0,2581.0,509.0,3,F,Heavyweight,M,KO/TKO,Punches to Head From Mount,2,3:52,UFC on FUEL TV: Sanchez vs Ellenberger,2012-02-15,Omaha,Nebraska,USA,3687,2581.0,0.0,74.0,51.0,74.0,51.0,0.0,0.0,0.0,0.0,0:06,Dave,Herman,193.04,242.0,195.58,1984-10-03,22,6,0,0.0
1619,176,Kevin Dornan,2581.0,3110.0,2581.0,3,F,Heavyweight,M,KO/TKO,Punches to Head On Ground,2,3:19,UFC 131: Dos Santos vs Carwin,2011-06-11,Vancouver,British Columbia,Canada,3238,2581.0,1.0,101.0,60.0,96.0,55.0,1.0,1.0,0.0,0.0,0:44,Dave,Herman,193.04,242.0,195.58,1984-10-03,22,6,0,0.0
2293,238,Herb Dean,1201.0,1002.0,1201.0,3,F,Welterweight,M,Decision,Majority,3,5:00,UFC 161: Evans vs Henderson,2013-06-15,Winnipeg,Manitoba,Canada,4586,1201.0,0.0,119.0,58.0,92.0,36.0,1.0,0.0,0.0,1.0,1:31,Sean,Pierson,182.88,170.0,193.04,1976-03-10,14,6,0,0.0
2025,214,Josh Rosenthal,1201.0,3799.0,1201.0,3,F,Welterweight,M,Decision,Unanimous,3,5:00,UFC 152: Jones vs Belfort,2012-09-22,Toronto,Ontario,Canada,4050,1201.0,0.0,202.0,112.0,159.0,74.0,3.0,0.0,0.0,0.0,2:52,Sean,Pierson,182.88,170.0,193.04,1976-03-10,14,6,0,0.0
1938,206,Chris Adams,2602.0,1201.0,1201.0,3,F,Welterweight,M,Decision,Unanimous,3,5:00,UFC on FX: Johnson vs McCall,2012-06-08,Sunrise,Florida,USA,3875,1201.0,0.0,158.0,89.0,109.0,41.0,2.0,1.0,1.0,1.0,3:59,Sean,Pierson,182.88,170.0,193.04,1976-03-10,14,6,0,0.0
1788,192,Yves Lavigne,2232.0,1201.0,2232.0,3,F,Welterweight,M,Decision,Unanimous,3,5:00,UFC 141: Lesnar vs Overeem,2011-12-30,Las Vegas,Nevada,USA,3575,1201.0,0.0,145.0,54.0,121.0,32.0,2.0,0.0,0.0,0.0,2:09,Sean,Pierson,182.88,170.0,193.04,1976-03-10,14,6,0,0.0
1583,173,Herb Dean,3102.0,1201.0,3102.0,3,F,Welterweight,M,KO/TKO,Punch to Head At Distance,1,2:42,UFC 129: St-Pierre vs Shields,2011-04-30,Toronto,Ontario,Canada,3165,1201.0,0.0,14.0,3.0,14.0,3.0,0.0,0.0,0.0,0.0,0:00,Sean,Pierson,182.88,170.0,193.04,1976-03-10,14,6,0,0.0
1493,165,Yves Lavigne,1041.0,1201.0,1201.0,3,F,Welterweight,M,Decision,Unanimous,3,5:00,UFC 124: St-Pierre vs Koscheck 2,2010-12-11,Montreal,Quebec,Canada,2985,1201.0,1.0,295.0,148.0,253.0,112.0,3.0,1.0,1.0,0.0,3:42,Sean,Pierson,182.88,170.0,193.04,1976-03-10,14,6,0,0.0
2291,238,Jerin Valel,3445.0,1907.0,3445.0,3,F,Lightweight,M,Decision,Unanimous,3,5:00,UFC 161: Evans vs Henderson,2013-06-15,Winnipeg,Manitoba,Canada,4581,1907.0,0.0,95.0,66.0,41.0,15.0,7.0,3.0,0.0,0.0,6:51,John,Maguire,175.26,155.0,175.26,1983-05-19,24,9,0,0.0
2076,219,Yves Lavigne,1041.0,1907.0,1041.0,3,F,Welterweight,M,Decision,Unanimous,3,5:00,UFC 154: St-Pierre vs Condit,2012-11-17,Montreal,Quebec,Canada,4151,1907.0,0.0,110.0,38.0,109.0,37.0,6.0,0.0,2.0,0.0,0:28,John,Maguire,175.26,155.0,175.26,1983-05-19,24,9,0,0.0
2039,215,Marc Goddard,2619.0,1907.0,2619.0,3,F,Welterweight,M,Decision,Unanimous,3,5:00,UFC on FUEL TV: Struve vs Miocic,2012-09-29,Nottingham,England,United Kingdom,4077,1907.0,0.0,60.0,31.0,41.0,13.0,3.0,1.0,0.0,0.0,1:43,John,Maguire,175.26,155.0,175.26,1983-05-19,24,9,0,0.0
1875,200,Kristian Hacklou,2371.0,1907.0,1907.0,3,F,Welterweight,M,Submission,Armbar On Ground,2,4:40,UFC on FUEL TV: Gustafsson vs Silva,2012-04-14,Stockholm,Stockholm,Sweden,3749,1907.0,0.0,38.0,35.0,7.0,6.0,3.0,3.0,1.0,0.0,6:06,John,Maguire,175.26,155.0,175.26,1983-05-19,24,9,0,0.0
1737,187,Leon Roberts,1907.0,3118.0,1907.0,3,F,Welterweight,M,Decision,Unanimous,3,5:00,UFC 138: Leben vs Munoz,2011-11-05,Birmingham,England,United Kingdom,3474,1907.0,0.0,88.0,70.0,38.0,27.0,9.0,6.0,2.0,1.0,9:16,John,Maguire,175.26,155.0,175.26,1983-05-19,24,9,0,0.0
2285,237,Dan Miragliotta,819.0,1725.0,819.0,3,F,Middleweight,M,Submission,Arm Triangle From Mount,1,2:20,UFC on FUEL TV: Nogueira vs. Werdum,2013-06-08,Fortaleza,Ceara,Brazil,4569,1725.0,0.0,13.0,5.0,12.0,4.0,0.0,0.0,0.0,0.0,0:22,Eddie,Mendez,177.8,185.0,177.8,1984-01-16,8,3,1,1.0
2279,237,Dan Miragliotta,1920.0,269.0,1920.0,3,F,Middleweight,M,Submission,Rear Naked Choke,2,2:49,UFC on FUEL TV: Nogueira vs. Werdum,2013-06-08,Fortaleza,Ceara,Brazil,4557,269.0,0.0,99.0,62.0,52.0,30.0,6.0,2.0,0.0,0.0,4:54,Karlos,Vemola,182.88,185.0,190.5,1985-07-03,17,5,0,0.0
1990,210,Josh Rosenthal,269.0,3542.0,3542.0,3,F,Middleweight,M,Submission,Rear Naked Choke,2,1:39,UFC on FUEL TV: Munoz vs Weidman,2012-07-11,San Jose,California,USA,3980,269.0,0.0,15.0,9.0,7.0,3.0,8.0,1.0,2.0,1.0,2:06,Karlos,Vemola,182.88,185.0,190.5,1985-07-03,17,5,0,0.0
1892,202,Dan Miragliotta,1822.0,269.0,269.0,3,F,Middleweight,M,Submission,Rear Naked Choke,2,1:07,UFC on FOX: Diaz vs Miller,2012-05-05,East Rutherford,New Jersey,USA,3783,269.0,0.0,40.0,16.0,39.0,16.0,4.0,2.0,2.0,0.0,1:05,Karlos,Vemola,182.88,185.0,190.5,1985-07-03,17,5,0,0.0
1659,180,Rob Hinds,1864.0,269.0,1864.0,3,F,Light Heavyweight,M,Decision,Unanimous,3,5:00,UFC Live: Hardy vs Lytle,2011-08-14,Milwaukee,Wisconsin,USA,3317,269.0,0.0,67.0,44.0,24.0,8.0,4.0,0.0,1.0,0.0,0:36,Karlos,Vemola,182.88,185.0,190.5,1985-07-03,17,5,0,0.0
1460,162,Leon Roberts,1227.0,269.0,269.0,3,F,Light Heavyweight,M,KO/TKO,Punches to Head On Ground,1,3:46,UFC 122: Marquardt vs Okami,2010-11-13,Oberhausen,North Rhine-Westphalia,Germany,2919,269.0,0.0,76.0,43.0,42.0,18.0,2.0,2.0,0.0,0.0,3:18,Karlos,Vemola,182.88,185.0,190.5,1985-07-03,17,5,0,0.0
1376,154,Mario Yamasaki,1926.0,269.0,1926.0,3,F,Heavyweight,M,Decision,Unanimous,3,5:00,UFC 116: Lesnar vs Carwin,2010-07-03,Las Vegas,Nevada,USA,2751,269.0,0.0,47.0,21.0,42.0,16.0,3.0,0.0,1.0,0.0,0:11,Karlos,Vemola,182.88,185.0,190.5,1985-07-03,17,5,0,0.0
2274,236,Chris Tognoni,1798.0,2738.0,2738.0,3,F,Lightweight,M,KO/TKO,Punches to Head At Distance,1,2:07,UFC 160: Velasquez vs Silva 2,2013-05-25,Las Vegas,Nevada,USA,4547,2738.0,3.0,55.0,29.0,52.0,26.0,0.0,0.0,0.0,0.0,0:15,TJ,Grant,177.8,155.0,182.88,1984-02-26,21,5,0,0.0
2145,225,John McCarthy,2738.0,116.0,2738.0,3,F,Lightweight,M,KO/TKO,Elbows to Head In Clinch,1,4:51,UFC on FOX: Johnson vs Dodson,2013-01-26,Chicago,Illinois,USA,4290,2738.0,1.0,96.0,56.0,93.0,54.0,0.0,0.0,0.0,0.0,1:10,TJ,Grant,177.8,155.0,182.88,1984-02-26,21,5,0,0.0
2026,214,Dan Miragliotta,2738.0,3145.0,2738.0,3,F,Lightweight,M,Decision,Unanimous,3,5:00,UFC 152: Jones vs Belfort,2012-09-22,Toronto,Ontario,Canada,4052,2738.0,0.0,309.0,171.0,300.0,164.0,3.0,0.0,0.0,0.0,0:40,TJ,Grant,177.8,155.0,182.88,1984-02-26,21,5,0,0.0
1907,203,Mario Yamasaki,2738.0,1168.0,2738.0,3,F,Lightweight,M,Decision,Unanimous,3,5:00,UFC on FUEL TV: Korean Zombie vs Poirier,2012-05-15,Fairfax,Virginia,USA,3814,2738.0,0.0,163.0,116.0,113.0,68.0,7.0,3.0,1.0,0.0,6:54,TJ,Grant,177.8,155.0,182.88,1984-02-26,21,5,0,0.0
1703,184,Fernando Yamasaki,965.0,2738.0,2738.0,3,F,Lightweight,M,Submission,Armbar From Bottom Guard,3,2:12,UFC Live: Cruz vs Johnson,2011-10-01,Washington,DC,USA,3405,2738.0,0.0,104.0,64.0,64.0,24.0,2.0,2.0,3.0,1.0,4:58,TJ,Grant,177.8,155.0,182.88,1984-02-26,21,5,0,0.0
1492,165,Philippe Chartier,2738.0,4023.0,4023.0,3,F,Welterweight,M,Decision,Unanimous,3,5:00,UFC 124: St-Pierre vs Koscheck 2,2010-12-11,Montreal,Quebec,Canada,2984,2738.0,0.0,33.0,20.0,18.0,6.0,1.0,0.0,0.0,1.0,0:52,TJ,Grant,177.8,155.0,182.88,1984-02-26,21,5,0,0.0
1429,159,Jeff Malott,2738.0,1293.0,2738.0,3,F,Welterweight,M,Decision,Unanimous,3,5:00,UFC 119: Mir vs Cro Cop,2010-09-25,Indianapolis,Indiana,USA,2858,2738.0,0.0,59.0,36.0,33.0,17.0,6.0,4.0,1.0,2.0,9:00,TJ,Grant,177.8,155.0,182.88,1984-02-26,21,5,0,0.0
1336,150,Marc-Andre Cote,2738.0,2591.0,2591.0,3,F,Welterweight,M,Decision,Majority,3,5:00,UFC 113: Machida vs Shogun 2,2010-05-08,Montreal,Quebec,Canada,2672,2738.0,0.0,123.0,78.0,111.0,67.0,1.0,0.0,0.0,0.0,0:09,TJ,Grant,177.8,155.0,182.88,1984-02-26,21,5,0,0.0
1240,141,Greg Franklin,2738.0,3617.0,2738.0,3,F,Welterweight,M,KO/TKO,Punch to Head At Distance,1,4:57,UFC 107: Penn vs Sanchez,2009-12-12,Memphis,Tennessee,USA,2480,2738.0,1.0,44.0,32.0,40.0,28.0,3.0,1.0,0.0,0.0,2:26,TJ,Grant,177.8,155.0,182.88,1984-02-26,21,5,0,0.0
1145,132,Mario Yamasaki,2232.0,2738.0,2232.0,3,F,Welterweight,M,Decision,Unanimous,3,5:00,UFC 100,2009-07-11,Las Vegas,Nevada,USA,2289,2738.0,0.0,57.0,33.0,44.0,22.0,5.0,1.0,0.0,0.0,2:19,TJ,Grant,177.8,155.0,182.88,1984-02-26,21,5,0,0.0
1099,128,Philippe Chartier,2738.0,3468.0,2738.0,3,F,Welterweight,M,Decision,Split,3,5:00,UFC 97: Redemption,2009-04-18,Montreal,Quebec,Canada,2198,2738.0,0.0,149.0,98.0,76.0,34.0,4.0,3.0,0.0,1.0,3:23,TJ,Grant,177.8,155.0,182.88,1984-02-26,21,5,0,0.0
2268,236,Steve Mazzagatti,401.0,3612.0,401.0,3,F,Welterweight,M,Decision,Unanimous,3,5:00,UFC 160: Velasquez vs Silva 2,2013-05-25,Las Vegas,Nevada,USA,4535,3612.0,0.0,144.0,78.0,121.0,56.0,1.0,0.0,0.0,0.0,0:40,Nah-Shon,Burrell,180.34,170.0,180.34,1990-02-05,15,7,0,1.0
2172,228,Jason Herzog,3612.0,234.0,3612.0,3,F,Welterweight,M,Decision,Unanimous,3,5:00,UFC 157: Rousey vs Carmouche,2013-02-23,Anaheim,California,USA,4344,3612.0,0.0,222.0,126.0,216.0,121.0,0.0,0.0,1.0,1.0,2:19,Nah-Shon,Burrell,180.34,170.0,180.34,1990-02-05,15,7,0,1.0
2267,236,Herb Dean,3702.0,952.0,952.0,3,F,Bantamweight,M,KO/TKO,Punch to Head At Distance,2,1:43,UFC 160: Velasquez vs Silva 2,2013-05-25,Las Vegas,Nevada,USA,4534,3702.0,1.0,76.0,28.0,72.0,24.0,0.0,0.0,1.0,1.0,0:49,Brian,Bowles,170.18,135.0,177.8,1980-06-22,10,3,0,0.0
1761,189,Jason McCoy,3041.0,3702.0,3041.0,3,F,Bantamweight,M,Submission,Guillotine Choke From Mount,2,1:27,UFC 139: Shogun vs Henderson,2011-11-19,San Jose,California,USA,3521,3702.0,0.0,69.0,14.0,68.0,13.0,0.0,0.0,0.0,0.0,0:00,Brian,Bowles,170.18,135.0,177.8,1980-06-22,10,3,0,0.0
1636,178,Mario Yamasaki,3702.0,1651.0,3702.0,3,F,Bantamweight,M,Decision,Unanimous,3,5:00,UFC 132: Cruz vs Faber,2011-07-02,Las Vegas,Nevada,USA,3272,3702.0,0.0,107.0,46.0,86.0,29.0,1.0,1.0,0.0,0.0,6:09,Brian,Bowles,170.18,135.0,177.8,1980-06-22,10,3,0,0.0
1550,170,Chris Kinman,3702.0,1347.0,3702.0,3,F,Bantamweight,M,Submission,"Guillotine Choke After Drop to Guard
      Technical Submission",1,3:30,UFC Live: Sanchez vs Kampmann,2011-03-03,Louisville,Kentucky,USA,3100,3702.0,0.0,62.0,20.0,61.0,19.0,1.0,1.0,1.0,0.0,0:08,Brian,Bowles,170.18,135.0,177.8,1980-06-22,10,3,0,0.0
2259,235,Leon Roberts,397.0,3469.0,397.0,3,F,Lightweight,M,Submission,Guillotine Choke On Ground,2,2:34,UFC on FX: Belfort vs. Rockhold,2013-05-18,Jaragua do Sul,Santa Catarina,Brazil,4517,3469.0,0.0,26.0,9.0,26.0,9.0,1.0,0.0,0.0,0.0,0:07,John,Cholish,180.34,155.0,187.96,1983-12-17,8,3,0,0.0
1895,202,Kevin Mulhall,3513.0,3469.0,3513.0,3,F,Lightweight,M,Decision,Unanimous,3,5:00,UFC on FOX: Diaz vs Miller,2012-05-05,East Rutherford,New Jersey,USA,3789,3469.0,0.0,86.0,31.0,84.0,29.0,6.0,1.0,0.0,0.0,0:51,John,Cholish,180.34,155.0,187.96,1983-12-17,8,3,0,0.0
1774,191,John McCarthy,3445.0,3469.0,3469.0,3,F,Lightweight,M,KO/TKO,Punches to Head From Back Control,2,4:36,UFC 140: Jones vs Machida,2011-12-10,Toronto,Ontario,Canada,3547,3469.0,0.0,95.0,69.0,80.0,55.0,6.0,1.0,0.0,2.0,2:53,John,Cholish,180.34,155.0,187.96,1983-12-17,8,3,0,0.0
2256,235,Leon Roberts,1890.0,2533.0,1890.0,3,F,Light Heavyweight,M,Decision,Unanimous,3,5:00,UFC on FX: Belfort vs. Rockhold,2013-05-18,Jaragua do Sul,Santa Catarina,Brazil,4511,2533.0,0.0,47.0,32.0,44.0,29.0,7.0,2.0,0.0,0.0,4:27,Roger,Hollett,180.34,205.0,180.34,1978-10-08,13,5,0,0.0
2029,214,Dan Miragliotta,2660.0,2533.0,2660.0,3,F,Light Heavyweight,M,Decision,Unanimous,3,5:00,UFC 152: Jones vs Belfort,2012-09-22,Toronto,Ontario,Canada,4057,2533.0,0.0,79.0,32.0,72.0,26.0,0.0,0.0,0.0,0.0,0:00,Roger,Hollett,180.34,205.0,180.34,1978-10-08,13,5,0,0.0
2255,235,Mario Yamasaki,2008.0,2863.0,2008.0,3,F,Flyweight,M,KO/TKO,Punch to Body At Distance,2,1:07,UFC on FX: Belfort vs. Rockhold,2013-05-18,Jaragua do Sul,Santa Catarina,Brazil,4509,2863.0,0.0,39.0,8.0,38.0,7.0,3.0,0.0,0.0,0.0,0:01,Azamat,Gashimov,167.64,125.0,167.64,1990-04-07,8,3,0,0.0
2075,219,Philippe Chartier,1720.0,2863.0,1720.0,3,F,Bantamweight,M,Submission,Armbar From Bottom Guard,1,2:44,UFC 154: St-Pierre vs Condit,2012-11-17,Montreal,Quebec,Canada,4149,2863.0,0.0,28.0,18.0,13.0,4.0,1.0,1.0,0.0,0.0,2:00,Azamat,Gashimov,167.64,125.0,167.64,1990-04-07,8,3,0,0.0
2251,234,Herb Dean,3767.0,3814.0,3767.0,3,F,Middleweight,M,Decision,Unanimous,3,4:31,UFC 159: Jones vs Sonnen,2013-04-27,Newark,New Jersey,USA,4501,3814.0,0.0,150.0,29.0,150.0,29.0,3.0,0.0,0.0,0.0,0:00,Alan,Belcher,187.96,185.0,190.5,1984-04-24,18,8,0,0.0
2125,223,Chris Tognoni,1409.0,3814.0,1409.0,3,F,Middleweight,M,Decision,Unanimous,3,5:00,UFC 155: Dos Santos vs Velasquez II,2012-12-29,Las Vegas,Nevada,USA,4249,3814.0,0.0,39.0,15.0,28.0,6.0,0.0,0.0,2.0,0.0,3:23,Alan,Belcher,187.96,185.0,190.5,1984-04-24,18,8,0,0.0
1901,202,Dan Miragliotta,1334.0,3814.0,3814.0,3,F,Middleweight,M,KO/TKO,Punches to Head From Guard,1,4:18,UFC on FOX: Diaz vs Miller,2012-05-05,East Rutherford,New Jersey,USA,3801,3814.0,0.0,46.0,29.0,37.0,20.0,0.0,0.0,1.0,0.0,2:14,Alan,Belcher,187.96,185.0,190.5,1984-04-24,18,8,0,0.0
1687,182,Dan Miragliotta,3814.0,1942.0,3814.0,3,F,Middleweight,M,KO/TKO,"Punches to Head On Ground
      Submission to Strikes",1,3:48,UFC Fight Night: Shields vs Ellenberger,2011-09-17,New Orleans,Louisiana,USA,3374,3814.0,0.0,68.0,52.0,39.0,25.0,0.0,0.0,0.0,0.0,2:57,Alan,Belcher,187.96,185.0,190.5,1984-04-24,18,8,0,0.0
1339,150,Mario Yamasaki,3376.0,3814.0,3814.0,3,F,Middleweight,M,Submission,Rear Naked Choke,2,3:25,UFC 113: Machida vs Shogun 2,2010-05-08,Montreal,Quebec,Canada,2677,3814.0,0.0,68.0,44.0,51.0,27.0,1.0,1.0,1.0,1.0,2:27,Alan,Belcher,187.96,185.0,190.5,1984-04-24,18,8,0,0.0
1245,141,Herb Dean,3814.0,2763.0,3814.0,3,F,Catch Weight,M,KO/TKO,Punches to Head In Clinch,1,3:03,UFC 107: Penn vs Sanchez,2009-12-12,Memphis,Tennessee,USA,2490,3814.0,1.0,63.0,26.0,56.0,21.0,0.0,0.0,0.0,0.0,0:04,Alan,Belcher,187.96,185.0,190.5,1984-04-24,18,8,0,0.0
